mes,ipca,nucleo,igpm,cambio_med,selic_fim,focus,dcambio
2016-02-01,0.9,0.73,1.29,3.973742105263158,14.25,0.87,-1.9588713235052069
2016-03-01,0.43,0.61,0.51,3.7039181818181817,14.25,0.56,-7.031701912082311
2016-04-01,0.61,0.67,0.33,3.565845,14.25,0.59,-3.7990174970157
2016-05-01,0.78,0.73,0.82,3.539290476190476,14.25,0.49,-0.7474775825700108
2016-06-01,0.35,0.59,1.69,3.4244772727272728,14.25,0.35,-3.2977437637270457
2016-07-01,0.52,0.51,0.18,3.2755666666666667,14.25,0.35,-4.445795685545595
2016-08-01,0.44,0.55,0.15,3.2096608695652176,14.25,0.32,-2.0325598659175492
2016-09-01,0.08,0.34,0.2,3.2563714285714287,14.25,0.34,1.4448233298052449
2016-10-01,0.26,0.4,0.16,3.185845,14,0.39,-2.1895956789168114
2016-11-01,0.18,0.39,-0.03,3.34203,14,0.42,4.786084683446412
2016-12-01,0.3,0.37,0.54,3.352268181818182,13.75,0.46,0.30587791348966054
2017-01-01,0.38,0.38,0.64,3.196609090909091,13,0.57,-4.754659704935116
2017-02-01,0.33,0.26,0.08,3.1041944444444445,12.25,0.56,-2.9336345335748026
2017-03-01,0.25,0.28,0.01,3.1279304347826087,12.25,0.27,0.7617339372745002
2017-04-01,0.14,0.34,-1.1,3.136172222222222,11.25,0.25,0.2631435864551168
2017-05-01,0.31,0.23,-0.93,3.209509090909091,11.25,0.54,2.3114975485102773
2017-06-01,-0.23,0.28,-0.67,3.2953666666666668,10.25,-0.03,2.6399447214294325
2017-07-01,0.24,0.15,-0.72,3.2061380952380953,9.25,0.18,-2.7450314222223327
2017-08-01,0.19,0.26,0.1,3.150917391304348,9.25,0.55,-1.7373481486383957
2017-09-01,0.16,0.24,0.47,3.13479,8.25,0.27,-0.5131459576164898
2017-10-01,0.42,0.34,0.2,3.1912285714285713,7.5,0.36,1.7843788566376029
2017-11-01,0.28,0.2,0.52,3.25938,7.5,0.43,2.113101848056842
2017-12-01,0.44,0.46,0.89,3.291915,7,0.33,0.9932469069110716
2018-01-01,0.29,0.28,0.76,3.2106090909090907,7,0.4,-2.500879522255084
2018-02-01,0.32,0.25,0.07,3.2415,6.75,0.43,0.957551854409644
2018-03-01,0.09,0.26,0.64,3.2792142857142856,6.5,0.23,1.1567661028836884
2018-04-01,0.22,0.21,0.57,3.407495238095238,6.5,0.33,3.837364044827085
2018-05-01,0.4,0.22,1.38,3.636057142857143,6.5,0.35,6.4922404939018685
2018-06-01,1.26,0.42,1.87,3.7731714285714286,6.5,0.53,3.7015983514916195
2018-07-01,0.33,0.36,0.51,3.8287636363636364,6.5,0.35,1.4626065165202373
2018-08-01,-0.09,0.31,0.7,3.9297565217391304,6.5,0.05,2.603552947685195
2018-09-01,0.48,0.28,1.52,4.1165473684210525,6.5,0.23,4.643732444903881
2018-10-01,0.45,0.26,0.89,3.758409090909091,6.5,0.37,-9.101904091120527
2018-11-01,-0.21,0.34,-0.49,3.786665,6.5,0.19,0.7489930740109951
2018-12-01,0.15,0.38,-1.08,3.885055,6.5,0.1,2.565145624960441
2019-01-01,0.32,0.47,0.01,3.741681818181818,6.5,0.38,-3.7601946378835516
2019-02-01,0.43,0.2,0.88,3.723625,6.5,0.37,-0.48375381843099863
2019-03-01,0.75,0.33,1.26,3.8464842105263157,6.5,0.36,3.2461882844297074
2019-04-01,0.57,0.37,0.92,3.8961571428571427,6.5,0.42,1.2831180361086103
2019-05-01,0.13,0.29,0.45,4.001518181818182,6.5,0.28,2.6683115189484186
2019-06-01,0.01,0.2,0.8,3.8588263157894738,6.5,0.12,-3.6310760592124236
2019-07-01,0.19,0.18,0.4,3.7793391304347828,6.5,0.21,-2.081391284507972
2019-08-01,0.11,0.23,-0.67,4.019981818181818,6,0.2,6.172821865228162
2019-09-01,-0.04,0.13,-0.01,4.1215,5.5,0.17,2.4939794990787467
2019-10-01,0.1,0.18,0.68,4.086986956521739,5,0.17,-0.8409161649507668
2019-11-01,0.51,0.2,0.3,4.155345,5,0.38,1.6587444229742232
2019-12-01,1.15,0.39,2.09,4.109590476190476,4.5,0.53,-1.107207463728166
2020-01-01,0.21,0.39,0.48,4.149463636363636,4.5,0.39,0.9655698926025025
2020-02-01,0.25,0.25,-0.04,4.341011111111111,4.25,0.2,4.512821424814462
2020-03-01,0.07,0.25,1.24,4.883854545454545,3.75,0.15,11.782747806873871
2020-04-01,-0.31,0.1,0.8,5.3255799999999995,3.75,0.1,8.658685189490267
2020-05-01,-0.38,0.02,0.28,5.643445,3,-0.36,5.797306878897435
2020-06-01,0.26,0.14,1.56,5.1966,2.25,0.08,-8.249012905796649
2020-07-01,0.36,0.11,2.23,5.280191304347826,2.25,0.37,1.5957763362952404
2020-08-01,0.24,0.13,2.74,5.461233333333333,2,0.07,3.371232052860318
2020-09-01,0.64,0.19,4.34,5.3994857142857144,2,0.19,-1.1370938534917219
2020-10-01,0.86,0.34,3.23,5.625790476190476,2,0.41,4.105775637816844
2020-11-01,0.89,0.34,3.28,5.417835,2,0.4,-3.766517816063608
2020-12-01,1.35,0.39,0.96,5.1455863636363635,2,0.72,-5.155695869990762
2021-01-01,0.25,0.4,2.58,5.356245,2,0.12,4.012383941742237
2021-02-01,0.86,0.38,2.53,5.416494444444444,2,0.5,1.1185654855771832
2021-03-01,0.93,0.35,2.94,5.646147826086956,2.75,0.43,4.152468720360947
2021-04-01,0.31,0.4,1.51,5.562135,2.75,0.4247,-1.4991484572107083
2021-05-01,0.83,0.57,4.1,5.2910571428571425,3.5,0.44,-4.996396348740184
2021-06-01,0.53,0.58,0.6,5.031904761904762,4.25,0.52,-5.021947114495839
2021-07-01,0.96,0.58,0.78,5.156704545454545,4.25,0.51,2.4499128755950617
2021-08-01,0.87,0.68,0.66,5.251718181818182,5.25,0.46,1.825757430330066
2021-09-01,1.16,0.63,-0.64,5.279690476190476,6.25,0.62,0.5312178277447677
2021-10-01,1.25,0.84,0.64,5.53998,7.75,0.57,4.812341657815744
2021-11-01,0.95,0.72,0.02,5.55686,7.75,0.62,0.3042309886348127
2021-12-01,0.73,0.89,0.87,5.651391304347826,9.25,0.72,1.6868562870566484
2022-01-01,0.54,1.06,1.82,5.534104761904762,9.25,0.445,-2.097195162217469
2022-02-01,1.01,0.94,1.83,5.196578947368421,10.75,0.86,-6.2929297436280285
2022-03-01,1.62,1.04,1.74,4.968381818181818,11.75,0.55,-4.490631715325022
